Book Title,Chapter Title,Date of Highlight,Book URL,Chapter URL,Annotation URL,Highlight,Personal Note
Monolith to Microservices,5. Growing Pains,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch05.html,https://learning.oreilly.com/library/view/-/9781492047834/ch05.html#3c5bbfca-42c2-49c6-8981-60df37139169,Collective code ownership,
Monolith to Microservices,5. Growing Pains,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch05.html,https://learning.oreilly.com/library/view/-/9781492047834/ch05.html#906125fd-ab69-4e0f-a649-f5c7240187e0,Weak code ownership,
Monolith to Microservices,5. Growing Pains,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch05.html,https://learning.oreilly.com/library/view/-/9781492047834/ch05.html#b44ab7f3-b7f4-43f2-93bc-b9a5d82cc9d1,Strong code ownership,
Monolith to Microservices,5. Growing Pains,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch05.html,https://learning.oreilly.com/library/view/-/9781492047834/ch05.html#9a429a5c-bd6d-4144-af30-7479b7a6481b,"let’s first take a look at the concepts Martin outlines, and put them in the context of microservice architecture:",
Monolith to Microservices,5. Growing Pains,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch05.html,https://learning.oreilly.com/library/view/-/9781492047834/ch05.html#c83ea265-958e-4b90-a3d3-c5593f31dd11,Figure 5-1 roughly maps the pain points we’ll cover in the rest of this chapter based on where in your service growth these issues are most likely to arise,
Monolith to Microservices,5. Growing Pains,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch05.html,https://learning.oreilly.com/library/view/-/9781492047834/ch05.html#1e549312-7c56-468c-966d-c481f03d6d79,"What I’m hoping to do with this chapter is give you just enough information about the sorts of issues you may face. I can’t solve them all in this book, and many of the problems I outline here already have a more detailed treatment in Building Microservices, which was very much written with these challenges in mind.",
Monolith to Microservices,4. Decomposing the Database,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch04.html,https://learning.oreilly.com/library/view/-/9781492047834/ch04.html#a5a23395-2551-4dc4-9cbc-eb3457b60737,"Splitting the Database First, or the Code?
So far, we’ve spoken about patterns to help work with shared databases, and hopefully move on to less coupled models. In a moment, we need to look in detail at patterns around database decomposition. Before we do that, though, we need to discuss sequencing. Extracting a microservice isn’t “done” until the application code is running in its own service, and the data it controls is extracted into its own logically isolated database. But with this being a book largely about enabling incremental change, we have to explore a little how this extraction should be sequenced. We have a few options:

Split the database first, then the code.

Split the code first, then the database.

Split them both at once.",
Monolith to Microservices,3. Splitting the Monolith,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch03.html,https://learning.oreilly.com/library/view/-/9781492047834/ch03.html#fecbffcc-c041-48d1-b4a6-08c8cc07977d,"Pattern: Change Data Capture
With change data capture, rather than trying to intercept and act on calls made into the monolith, we react to changes made in a datastore. For change data capture to work, the underlying capture system has to be coupled to the monolith’s datastore. That’s really an unavoidable challenge with this pattern.",
Monolith to Microservices,3. Splitting the Monolith,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch03.html,https://learning.oreilly.com/library/view/-/9781492047834/ch03.html#71595d2e-7ceb-4198-af72-1f16e7a36120,Pattern: Decorating Collaborator,
Monolith to Microservices,3. Splitting the Monolith,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch03.html,https://learning.oreilly.com/library/view/-/9781492047834/ch03.html#7541c8d6-fd41-484f-90ef-4f3c2d2b8ad1,Pattern: Parallel Run,
Monolith to Microservices,3. Splitting the Monolith,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch03.html,https://learning.oreilly.com/library/view/-/9781492047834/ch03.html#51023c38-4219-408d-8939-7cc5f268812e,Pattern: Branch by Abstraction,
Monolith to Microservices,3. Splitting the Monolith,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch03.html,https://learning.oreilly.com/library/view/-/9781492047834/ch03.html#13a0e8b9-ce7f-4570-b8db-58714f3acad3,Pattern: UI Composition,
Monolith to Microservices,2. Planning a Migration,2021-11-17,https://learning.oreilly.com/library/view/-/9781492047834/,https://learning.oreilly.com/library/view/-/9781492047834/ch02.html,https://learning.oreilly.com/library/view/-/9781492047834/ch02.html#1e6e8c5b-dad6-4cf7-97b7-a8b00efeba03,Figure 2-7. A simple two-axis model for prioritizing service decomposition,
