Book Title,Authors,Chapter Title,Date of Highlight,Book URL,Chapter URL,Highlight URL,Highlight,Personal Note
Kotlin in Action,Dmitry Jemerov...,Chapter 11. DSL construction,2020-07-10,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/kindle_split_022.html,https://learning.oreilly.com/a/kotlin-in-action/48116531/,wo new features of Kotlin that can help you build DSLs: lambdas with receivers and the invoke convention,
Kotlin in Action,Dmitry Jemerov...,Chapter 11. DSL construction,2020-07-10,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/kindle_split_022.html,https://learning.oreilly.com/a/kotlin-in-action/48116308/,"The invoke method isn’t restricted to any specific signature. You can define it with any number of parameters and with any return type,
         or even define multiple overloads of invoke with different parameter types",
Kotlin in Action,Dmitry Jemerov...,Chapter 11. DSL construction,2020-07-10,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/kindle_split_022.html,https://learning.oreilly.com/a/kotlin-in-action/48116305/,"the invoke convention does the same thing, except that the brackets are replaced with parentheses. A class for which the invoke method with an operator modifier is defined can be called as a function",
Kotlin in Action,Dmitry Jemerov...,Chapter 11. DSL construction,2020-07-10,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/kindle_split_022.html,https://learning.oreilly.com/a/kotlin-in-action/48115861/,"we call this an internal
         DSL: the code intended to accomplish a specific task (building SQL queries) is implemented as a library in a general-purpose
         language (Kotlin).",
Kotlin in Action,Dmitry Jemerov...,Chapter 11. DSL construction,2020-07-10,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/kindle_split_022.html,https://learning.oreilly.com/a/kotlin-in-action/48115835/,"The external DSL you’re going to use is SQL; the internal one is provided by the Exposed framework
         (https://github.com/JetBrains/Exposed), which is a Kotlin framework for database access.",
Kotlin in Action,Dmitry Jemerov...,Chapter 11. DSL construction,2020-07-10,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/kindle_split_022.html,https://learning.oreilly.com/a/kotlin-in-action/48115808/,"Another important point is that DSLs tend to be declarative, as opposed to general-purpose languages, most of which are imperative.
         Whereas an imperative language describes the exact sequence of steps required to perform an operation, a declarative language describes the desired result and leaves the execution details to the engine that interprets it",
Kotlin in Action,Dmitry Jemerov...,Chapter 10. Annotations and reflection,2020-07-09,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/kindle_split_021.html,https://learning.oreilly.com/a/kotlin-in-action/48082696/,"The KFunction and KProperty interfaces both extend KCallable, which provides the generic call method.
            
         
         
         The KCallable.callBy method can be used to invoke methods with default parameter values",
Kotlin in Action,Dmitry Jemerov...,Chapter 10. Annotations and reflection,2020-07-09,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/kindle_split_021.html,https://learning.oreilly.com/a/kotlin-in-action/48078814/,Hierarchy of interfaces in the Kotlin reflection API,copy image
Kotlin in Action,Dmitry Jemerov...,Chapter 10. Annotations and reflection,2020-07-09,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/kindle_split_021.html,https://learning.oreilly.com/a/kotlin-in-action/48078722/,"KCallable is a superinterface for functions and properties. It declares the call method, which allows you to call the corresponding function or the getter of the property",
Kotlin in Action,Dmitry Jemerov...,Chapter 10. Annotations and reflection,2020-07-09,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/,https://learning.oreilly.com/library/view/kotlin-in-action/9781617293290/kindle_split_021.html,https://learning.oreilly.com/a/kotlin-in-action/48078334/,"Whenever JKid reads a nested company object for a Person instance, it creates and deserializes an instance of CompanyImpl and stores it in the company property. To specify this, you use CompanyImpl::class as an argument of the @DeserializeInterface annotation. In general, to refer to a class, you use its name followed by the ::class keyword.",
